@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
1,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,2.4821537,2.0352054,-0.55753815,0.40080974,-0.06179795,0.16857326,-1.9835309,-0.06193939,0
1,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,3.0542965,3.112397,0.8858381,-0.0804082,0.11535456,0.558784,0.1883909,-2.0372074,0
1,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,2.049613,1.6727389,0.029635044,0.83374304,0.03675488,-0.09974139,-1.9838562,-0.42149514,0
1,4,0.0,-0.2,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,2.9196808,1.9733826,0.28262115,-0.47274688,0.7971736,-1.5576985,0.1661409,-0.10802926,0
1,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,2.6189456,1.7849541,0.8159721,1.2443883,2.1149936,-0.7811613,-0.08097498,-1.8214133,0
1,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.6901224,1.5196645,1.9831818,0.7890713,1.3662558,-1.163028,-1.4426394,-1.7110566,0
1,8,0.0,-0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,3.0595975,3.0326688,0.101494394,0.16221145,0.7227429,0.3260909,0.65366286,-1.8748326,0
1,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,2.7747793,5.1027007,4.534318,-1.3851956,5.9101186,-4.7536197,-2.8294249,-1.2778609,0
1,10,0.0,0.2,15.5,7.88,72.0,28785.854,24967.166,39.0,37.0,1.666748,2.396952,-0.33444017,-0.31288615,1.4075745,-1.8534756,-0.86207116,-0.08335705,0
1,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,-0.01885907,-0.0022038557,-0.06096561,0.027082264,0.030500397,0.025594153,0.012124792,0.024784818,0
1,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,1.288682,1.5311012,0.2680563,0.91549665,1.3834528,-1.0088161,-1.4840475,-1.1710861,0
1,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,3.429269,2.4451616,1.0390266,0.32192123,4.1092935,-3.1532795,-1.7095097,0.49735525,0
1,14,0.0,-0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,0.082877345,0.7804041,-1.2705392,-0.75161153,1.4128894,0.060058724,-1.1885427,-0.91910607,0
1,15,1.0,0.2,18.0,13.22,0.0,0.0,0.0,0.0,0.0,0.055033103,0.047743835,-0.015741155,0.05595898,-0.059465658,-0.033232197,-0.008796163,-0.032059357,0
1,16,1.0,0.3,13.08,6.0,0.0,0.0,0.0,0.0,0.0,-0.03159826,0.020278566,0.04598465,-0.028853782,0.031210594,0.025889069,0.035199963,0.015741222,0
1,17,0.0,0.3,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,2.2607954,1.1653699,-0.17993735,0.69947517,1.4653788,-1.1434805,-0.91314113,-0.08863308,0
1,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,7.0922422,1.9251472,1.9693912,-1.9011897,2.090077,-0.95466065,2.7789533,-9.692012,0
1,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,-0.0062946714,0.0034696758,-0.0027683377,-0.008727547,0.014594421,-0.037838235,-0.05119153,-0.04033924,0
4,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,2.4821537,2.0352054,-0.55753815,0.40080974,-0.06179795,0.16857326,-1.9835309,-0.06193939,0
4,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,3.0542965,3.112397,0.8858381,-0.0804082,0.11535456,0.558784,0.1883909,-2.0372074,0
4,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,2.049613,1.6727389,0.029635044,0.83374304,0.03675488,-0.09974139,-1.9838562,-0.42149514,0
4,4,0.0,-0.2,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,2.9196808,1.9733826,0.28262115,-0.47274688,0.7971736,-1.5576985,0.1661409,-0.10802926,0
4,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,2.6189456,1.7849541,0.8159721,1.2443883,2.1149936,-0.7811613,-0.08097498,-1.8214133,0
4,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.6901224,1.5196645,1.9831818,0.7890713,1.3662558,-1.163028,-1.4426394,-1.7110566,0
4,7,0.0,3.8,22.5,24.6,110.0,54270.023,34563.883,66.0,19.0,2.0075579,1.7959793,-1.2198359,-0.1787329,-0.20591833,-1.5348482,-0.59615123,-1.9961027,0
4,8,0.0,-0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,3.0595975,3.0326688,0.101494394,0.16221145,0.7227429,0.3260909,0.65366286,-1.8748326,0
4,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,2.7747793,5.1027007,4.534318,-1.3851956,5.9101186,-4.7536197,-2.8294249,-1.2778609,0
4,10,0.0,0.3,15.5,7.88,34.0,9335.298,14730.607,24.0,19.0,1.6517283,2.4420679,-0.35746038,-0.2966289,1.4378836,-1.8502105,-0.86792743,-0.08396314,1
4,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,-0.01885907,-0.0022038557,-0.06096561,0.027082264,0.030500397,0.025594153,0.012124792,0.024784818,0
4,12,0.0,0.2,22.45,12.57,160.0,41264.086,13944.176,73.0,33.0,1.288682,1.5311012,0.2680563,0.91549665,1.3834528,-1.0088161,-1.4840475,-1.1710861,0
4,13,0.0,-0.4,18.47,13.52,5.0,1948.468,1341.7363,4.0,4.0,3.429269,2.4451616,1.0390266,0.32192123,4.1092935,-3.1532795,-1.7095097,0.49735525,0
4,14,0.0,0.1,17.92,10.02,305.0,128644.11,173328.6,96.0,232.0,0.082877345,0.7804041,-1.2705392,-0.75161153,1.4128894,0.060058724,-1.1885427,-0.91910607,0
4,15,1.0,-0.1,18.0,13.22,0.0,0.0,0.0,0.0,0.0,0.055033103,0.047743835,-0.015741155,0.05595898,-0.059465658,-0.033232197,-0.008796163,-0.032059357,0
4,16,1.0,0.3,13.08,6.0,0.0,0.0,0.0,0.0,0.0,-0.03159826,0.020278566,0.04598465,-0.028853782,0.031210594,0.025889069,0.035199963,0.015741222,0
4,17,0.0,0.3,17.9,11.75,8.0,137543.4,68158.75,6.0,7.0,2.2607954,1.1653699,-0.17993735,0.69947517,1.4653788,-1.1434805,-0.91314113,-0.08863308,0
4,18,0.0,0.2,14.2,8.25,15.0,46354.17,46046.78,2.0,5.0,7.0922422,1.9251472,1.9693912,-1.9011897,2.090077,-0.95466065,2.7789533,-9.692012,0
4,19,1.0,-0.1,16.75,7.5,0.0,0.0,0.0,0.0,0.0,-0.0062946714,0.0034696758,-0.0027683377,-0.008727547,0.014594421,-0.037838235,-0.05119153,-0.04033924,0
2,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,2.4821537,2.0352054,-0.55753815,0.40080974,-0.06179795,0.16857326,-1.9835309,-0.06193939,0
2,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,3.0542965,3.112397,0.8858381,-0.0804082,0.11535456,0.558784,0.1883909,-2.0372074,0
