@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Embedding_Feature_8 NUMERIC
@ATTRIBUTE Embedding_Feature_9 NUMERIC
@ATTRIBUTE Embedding_Feature_10 NUMERIC
@ATTRIBUTE Embedding_Feature_11 NUMERIC
@ATTRIBUTE Embedding_Feature_12 NUMERIC
@ATTRIBUTE Embedding_Feature_13 NUMERIC
@ATTRIBUTE Embedding_Feature_14 NUMERIC
@ATTRIBUTE Embedding_Feature_15 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
1,1,0.0,0.2,19.5,11.95,286.0,74560.37,28438.32,119.0,53.0,1.4076073,2.8321958,-0.9886306,-0.31061763,0.27189213,0.7219303,-0.585516,0.20408513,-1.0625992,-1.3961718,0.014375484,0.7754082,0.27473506,-0.13241579,1.1440244,-0.8086193,0
1,2,0.0,-0.3,24.1,16.33,36.0,24106.729,25361.455,30.0,9.0,2.380424,3.3981466,-0.13809484,-0.65278506,0.89100796,-1.4473127,1.8702981,0.7061398,-0.6412935,-1.951273,-0.26634675,0.34907898,-0.16058803,-1.9171073,0.20392483,-1.5563166,0
1,3,0.0,0.2,23.55,16.4,186.0,59402.297,21736.8,92.0,21.0,1.3183331,2.7124543,-0.17959926,-0.44174844,1.7233269,0.13285248,0.44205463,-0.84016114,-0.74114764,-1.0503052,-0.5155639,1.5747257,-0.594232,0.20996489,0.6646058,-1.1681905,0
1,4,0.0,-0.2,20.62,11.72,213.0,101281.66,34144.543,90.0,22.0,1.3837082,1.0092806,0.87091154,-0.35161364,1.9126652,-1.1171644,-0.08409488,-0.34113076,-2.1218207,-2.1115148,-0.29816276,0.43280813,-0.7821104,-0.55863756,2.7498395,-0.086142704,0
1,5,0.0,0.2,24.47,18.8,109.0,54569.984,43085.74,73.0,18.0,3.3443544,2.1732082,0.84924346,-0.96317583,1.0338695,1.1639665,0.40540817,-0.08723763,-1.1998937,-0.42744943,-0.3625225,1.132156,-0.26721528,-1.1354059,1.2095685,-0.63750273,0
1,6,0.0,0.2,17.53,13.4,249.0,68148.89,54018.61,93.0,29.0,1.4129697,1.5957806,0.6986944,-0.89595973,0.9545478,0.884776,-0.57085377,-0.8067598,-1.0436711,-1.5187467,0.67901623,0.44197837,-1.8356173,-0.9238261,1.4543648,-0.40769672,0
1,8,0.0,-0.2,19.5,12.55,10.0,5384.5786,2595.6843,10.0,7.0,1.4191787,2.4197521,-0.30326757,-0.9643985,-0.38238046,-0.796915,1.8253337,1.6395096,-1.1777285,-0.5082431,-0.6345093,0.06662919,-0.41296604,-0.30139887,-0.018405892,-1.5593507,0
1,9,0.0,-0.2,15.75,8.8,53.0,24514.613,13229.16,38.0,5.0,3.1564317,4.8236594,-0.69830024,-1.5808591,0.99338466,-0.05715524,0.24696526,-0.48652884,-0.38568372,-0.056135986,-0.33527228,3.4214075,-4.07362,-4.2172585,2.3854175,1.9318043,0
1,10,0.0,0.2,15.5,7.88,72.0,28785.854,24967.166,39.0,37.0,0.8634246,1.6987135,0.79630226,-0.8570091,1.2020822,-0.8944345,0.9543648,0.54657876,-1.9820033,0.07978113,-0.2021263,0.0064089554,-0.5675491,-0.8895907,0.9292151,-0.56534284,0
1,11,1.0,-0.2,11.5,7.5,0.0,0.0,0.0,0.0,0.0,0.008190259,-0.0029684696,-0.018843181,0.019394081,0.00046050176,-0.021582399,-0.00432943,0.011103902,0.030627534,0.03051465,0.025511391,0.005084645,0.0052699856,-0.0052251574,-0.011619223,-0.00689674,0
